"Nome do projeto","OrbitGestão"
"Intervalo de datas","02/20/2026 00:00 - 05/20/2026 23:59"


"URL visitada começa com","https://orbitgestao.com.br/"

"Exibições de página","18104"


"Métrica","Attention"

"Profundidade de rolagem","Tempo médio gasto","% da duração da sessão"
"5","01:07:27","59.86%"
"10","00:01:25","1.26%"
"15","00:02:14","1.98%"
"20","00:00:21","0.32%"
"25","00:00:16","0.25%"
"30","00:00:01","0.02%"
"35","00:02:14","1.98%"
"40","00:00:45","0.68%"
"45","00:00:00","0%"
"50","00:00:31","0.46%"
"55","00:04:00","3.56%"
"60","00:13:12","11.72%"
"65","00:12:58","11.51%"
"70","00:00:00","0%"
"75","00:00:00","0%"
"80","00:00:00","0%"
"85","00:00:58","0.87%"
"90","00:04:49","4.28%"
"95","00:01:05","0.97%"
"100","00:00:18","0.27%"
