"Nome do projeto","OrbitGestão"
"Intervalo de datas","02/20/2026 00:00 - 05/20/2026 23:59"


"URL visitada começa com","https://orbitgestao.com.br/"

"Exibições de página","18104"
"Total de cliques","27144"

"Métrica","Click"

"Classificar","Botão","Cliques"," % de cliques"
"1","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>DIV.nav-actions:nth-of-type(2)>A.btn.btn-outline:nth-of-type(1)","3884","14,31%"
"2","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>UL.nav-menu:nth-of-type(1)>LI:nth-of-type(1)>DIV.dropdown.dropdown--lg:nth-of-type(1)>DIV.dropdown__links:nth-of-type(1)","578","2,13%"
"3","#home","285","1,05%"
"4","#home>DIV.container:nth-of-type(3)>DIV.hero-zoom__header:nth-of-type(1)>DIV.hero-zoom__ctas:nth-of-type(1)>A.btn.btn-ghost.btn-lg:nth-of-type(2)","268","0,99%"
"5","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>DIV.nav-actions:nth-of-type(2)>A.btn.btn-primary:nth-of-type(2)","185","0,68%"
"6","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>DIV.logo:nth-of-type(1)>A:nth-of-type(1)>IMG:nth-of-type(1)","163","0,60%"
"7","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)","140","0,52%"
"8","HTML>BODY:nth-of-type(1)","134","0,49%"
"9","#home>DIV.container:nth-of-type(3)>DIV.hero-zoom__header:nth-of-type(1)>P.hero-zoom__subtitle:nth-of-type(1)","128","0,47%"
"10","#home>DIV.container:nth-of-type(3)>DIV.hero-zoom__header:nth-of-type(1)>H1.hero-zoom__title:nth-of-type(1)>SPAN:nth-of-type(1)","122","0,45%"
"11","#home>DIV.container:nth-of-type(3)>DIV.hero-zoom__header:nth-of-type(1)>DIV.hero-zoom__ctas:nth-of-type(1)>A.btn.btn-primary.btn-lg.hero-cta-glow:nth-of-type(1)","117","0,43%"
"12","#platformDock>BUTTON.dock-item:nth-of-type(1)>DIV.dock-icon:nth-of-type(1)","115","0,42%"
"13","#agentes>DIV:nth-of-type(3)>A.btn.btn-primary.btn-lg:nth-of-type(1)","111","0,41%"
"14","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--orbit:nth-of-type(3)>DIV.cost-cta:nth-of-type(9)>A.btn.btn-primary.btn-lg:nth-of-type(1)","97","0,36%"
"15","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)","95","0,35%"
"16","#home>DIV.container:nth-of-type(3)","86","0,32%"
"17","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>BUTTON.lang-switch:nth-of-type(1)>SPAN.lang-switch__label:nth-of-type(2)","84","0,31%"
