"Nome do projeto","OrbitGestão"
"Intervalo de datas","02/20/2026 00:00 - 05/20/2026 23:59"


"URL visitada começa com","https://orbitgestao.com.br/"

"Exibições de página","18104"


"Métrica","Scroll"

"Profundidade de rolagem","Número de visitantes","% de desistência"
"5","12796","29.31"
"10","11151","38.40"
"15","10788","40.40"
"20","9994","44.79"
"25","9575","47.11"
"30","6816","62.35"
"35","6625","63.40"
"40","6470","64.26"
"45","6324","65.06"
"50","6157","65.99"
"55","5845","67.71"
"60","5716","68.42"
"65","5612","69"
"70","5461","69.83"
"75","5309","70.67"
"80","5160","71.49"
"85","5028","72.22"
"90","4896","72.95"
"95","4714","73.96"
"100","4052","77.62"
