Relatório de locais orbit,,,,,,,,,,,,
Todo o período,,,,,,,,,,,,
Local correspondente,Campanha,Ajuste de lance,Adicionada/excluída,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Taxa de conv.,Conversões,Custo / conv.
"Rio Grande do Sul, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,12,38,"31,58%",BRL,"2,84","34,08",0%,0,0
"Pará, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,2,7,"28,57%",BRL,"4,74","9,48",0%,0,0
"Paraíba, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,0,1,0%,BRL,0,0,0%,0,0
"Rio Grande do Norte, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,0,4,0%,BRL,0,0,0%,0,0
"Amazonas, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,1,2,50%,BRL,"9,19","9,19",0%,0,0
"Sergipe, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,2,3,"66,67%",BRL,"1,29","2,58",0%,0,0
"Rio de Janeiro, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,5,15,"33,33%",BRL,"4,94","24,68",0%,0,0
"Paraná, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,9,38,"23,68%",BRL,"4,22","37,94",0%,0,0
"Ceará, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,5,9,"55,56%",BRL,"1,49","7,43",0%,0,0
"Mato Grosso, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,3,12,25%,BRL,"3,88","11,65",0%,0,0
"São Paulo, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,31,112,"27,68%",BRL,"2,85","88,42","6,45%",2,"44,21"
"Maranhão, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,3,12,25%,BRL,"2,51","7,53",0%,0,0
"Goiás, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,12,36,"33,33%",BRL,"3,72","44,7",0%,0,0
"Piauí, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,3,3,100%,BRL,"7,22","21,66",0%,0,0
"Acre, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,0,2,0%,BRL,0,0,0%,0,0
"Pernambuco, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,3,3,100%,BRL,"1,21","3,63",0%,0,0
"Santa Catarina, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,18,64,"28,13%",BRL,"3,07","55,34","11,11%",2,"27,67"
"Tocantins, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,1,7,"14,29%",BRL,"1,25","1,25",0%,0,0
"Minas Gerais, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,15,35,"42,86%",BRL,"2,81","42,22",0%,0,0
"Distrito Federal, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,5,15,"33,33%",BRL,"4,47","22,33",0%,0,0
"Mato Grosso do Sul, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,4,12,"33,33%",BRL,"4,43","17,73",0%,0,0
"Alagoas, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,0,1,0%,BRL,0,0,0%,0,0
"Espírito Santo, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,4,6,"66,67%",BRL,"5,6","22,39",0%,0,0
"Rondônia, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,1,1,100%,BRL,"3,96","3,96",0%,0,0
"Bahia, Brasil",[Rodrigo][Lead][Defesa da marca],--,Nenhuma,5,17,"29,41%",BRL,"0,86","4,29",40%,2,"2,15"
"Maranhão, Brasil",[Rodrigo][Search][Leads][Maio],--,Nenhuma,7,115,"6,09%",BRL,"7,41","51,9",0%,0,0
"São Paulo, Brasil",[Rodrigo][Search][Leads][Maio],--,Nenhuma,34,860,"3,95%",BRL,"6,7","227,96",0%,0,0
"Sergipe, Brasil",[Rodrigo][Search][Leads][Maio],--,Nenhuma,2,42,"4,76%",BRL,"7,11","14,21",0%,0,0
"Pará, Brasil",[Rodrigo][Search][Leads][Maio],--,Nenhuma,9,153,"5,88%",BRL,"4,46","40,14",0%,0,0
"Alagoas, Brasil",[Rodrigo][Search][Leads][Maio],--,Nenhuma,1,42,"2,38%",BRL,"5,47","5,47",0%,0,0
"Amazonas, Brasil",[Rodrigo][Search][Leads][Maio],--,Nenhuma,7,102,"6,86%",BRL,"4,9","34,32",0%,0,0
"Rondônia, Brasil",[Rodrigo][Search][Leads][Maio],--,Nenhuma,1,36,"2,78%",BRL,"3,82","3,82",0%,0,0
"Rio Grande do Norte, Brasil",[Rodrigo][Search][Leads][Maio],--,Nenhuma,1,40,"2,5%",BRL,"3,4","3,4",0%,0,0
"Goiás, Brasil",[Rodrigo][Search][Leads][Maio],--,Nenhuma,9,184,"4,89%",BRL,"4,15","37,38",0%,0,0
"Amapá, Brasil",[Rodrigo][Search][Leads][Maio],--,Nenhuma,0,12,0%,BRL,0,0,0%,0,0
"Minas Gerais, Brasil",[Rodrigo][Search][Leads][Maio],--,Nenhuma,19,367,"5,18%",BRL,"6,93","131,65",0%,0,0
"Paraíba, Brasil",[Rodrigo][Search][Leads][Maio],--,Nenhuma,0,62,0%,BRL,0,0,0%,0,0
"Mato Grosso do Sul, Brasil",[Rodrigo][Search][Leads][Maio],--,Nenhuma,3,69,"4,35%",BRL,"7,4","22,21",0%,0,0
"Santa Catarina, Brasil",[Rodrigo][Search][Leads][Maio],--,Nenhuma,10,222,"4,5%",BRL,"6,72","67,15",0%,0,0
"Rio de Janeiro, Brasil",[Rodrigo][Search][Leads][Maio],--,Nenhuma,14,194,"7,22%",BRL,"5,32","74,48",0%,0,0
