horarios orbit,,,,,,,,,,,
Todo o período,,,,,,,,,,,
Data e hora,Campanha,Ajuste de lance,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Taxa de conv.,Conversões,Custo / conv.
"Segundas-feiras, o dia todo",[Rodrigo][Search][Leads][Maio],--,16,586,"2,73%",BRL,"10,29","164,62",0%,0,0
"Quintas-feiras, o dia todo",[Rodrigo][Search][Leads][Maio],--,37,634,"5,84%",BRL,"7,26","268,46",0%,0,0
"Domingos, o dia todo",[Rodrigo][Search][Leads][Maio],--,2,128,"1,56%",BRL,"3,97","7,94",0%,0,0
"Terças-feiras, o dia todo",[Rodrigo][Search][Leads][Maio],--,40,739,"5,41%",BRL,"7,62","304,74",0%,0,0
"Quartas-feiras, o dia todo",[Rodrigo][Search][Leads][Maio],--,40,980,"4,08%",BRL,"6,51","260,34",0%,0,0
"Sextas-feiras, o dia todo",[Rodrigo][Search][Leads][Maio],--,31,690,"4,49%",BRL,"5,8","179,7",0%,0,0
"Sábados, o dia todo",[Rodrigo][Search][Leads][Maio],--,5,99,"5,05%",BRL,"7,44","37,19",0%,0,0
"Sábados, o dia todo",[Rodrigo][Lead][Defesa da marca],--,4,9,"44,44%",BRL,"5,78","23,12",0%,0,0
"Domingos, o dia todo",[Rodrigo][Lead][Defesa da marca],--,4,22,"18,18%",BRL,"3,38","13,51",0%,0,0
"Segundas-feiras, o dia todo",[Rodrigo][Lead][Defesa da marca],--,27,110,"24,55%",BRL,"3,01","81,17","7,41%",2,"40,58"
"Terças-feiras, o dia todo",[Rodrigo][Lead][Defesa da marca],--,35,125,28%,BRL,"3,38","118,39","5,71%",2,"59,19"
"Quartas-feiras, o dia todo",[Rodrigo][Lead][Defesa da marca],--,32,69,"46,38%",BRL,"3,35","107,19","6,25%",2,"53,6"
"Quintas-feiras, o dia todo",[Rodrigo][Lead][Defesa da marca],--,24,60,40%,BRL,"2,98","71,61",0%,0,0
"Sextas-feiras, o dia todo",[Rodrigo][Lead][Defesa da marca],--,18,60,30%,BRL,"3,19","57,5",0%,0,0
Total: Programações de anúncios,,,315,4311,"7,31%",BRL,"5,38","1695,47","1,9%",6,"282,58"
Total: Conta,,,315,4311,"7,31%",BRL,"5,38","1695,47","1,9%",6,"282,58"
Total: Pesquisa,,,315,4311,"7,31%",BRL,"5,38","1695,47","1,9%",6,"282,58"
